SiteNo,Latitude,Longtitude,Date,Water.status
3704,-27.858271,152.464286,20/03/2018,0
3202,-27.893913,152.38337,20/03/2018,0
606,-27.253797,152.396973,20/03/2018,0.95
1103,-27.6994,152.8032,20/03/2018,1
4103,-27.601149,152.013344,20/03/2018,0.13
3302,-27.661199,152.319399,20/03/2018,0
1505,-27.9315,152.95,29/03/2018,1
1604,-27.7676,153.1211,29/03/2018,1
2501,-27.267984,152.803182,29/03/2018,1
3103,-26.779,152.2887,29/03/2018,1
2501,-27.267984,152.803182,30/05/2018,0.2
2502,-27.250566,152.805971,30/05/2018,0
3103,-26.778569,152.281667,30/05/2018,1
606,-27.253797,152.396973,30/05/2018,0
1103,-27.6994,152.800556,12/05/2018,1
1604,-27.7676,153.1211,31/05/2018,1
1505,-27.9315,152.95,31/05/2018,1
3704,-27.858271,152.464286,31/05/2018,0
3703,-27.865432,152.486268,31/05/2018,1
3302,-27.661199,152.319399,31/05/2018,0.1
2501,-27.267984,152.803182,24/07/2018,0.05
2502,-27.250566,152.805971,24/07/2018,0
3103,-26.778569,152.281667,25/07/2018,0.9
606,-27.253797,152.396973,25/07/2018,0.7
1103,-27.6994,152.800556,27/07/2018,1
1604,-27.7676,153.1211,27/07/2018,1
1505,-27.9315,152.95,27/07/2018,1
3704,-27.858271,152.464286,27/07/2018,0
3703,-27.865432,152.486268,27/07/2018,0
3302,-27.661199,152.319399,26/07/2018,0
2501,-27.267984,152.803182,29/08/2018,0.05
2502,-27.250566,152.805971,29/08/2018,0
3103,-26.778569,152.281667,29/08/2018,0.8
606,-27.253797,152.396973,2/09/2018,0.4
1103,-27.6994,152.800556,31/08/2018,1
1604,-27.7676,153.1211,3/09/2018,0.8
1505,-27.9315,152.95,3/09/2018,0
3704,-27.858271,152.464286,30/08/2018,0
3703,-27.865432,152.486268,30/08/2018,0
3302,-27.661199,152.319399,30/08/2018,0
2501,-27.267984,152.803182,4/11/2018,1
2502,-27.250566,152.805971,4/11/2018,1
3103,-26.778569,152.281667,4/11/2018,1
606,-27.253797,152.396973,5/11/2018,0.4
1103,-27.6994,152.800556,1/11/2018,1
1604,-27.7676,153.1211,1/11/2018,1
1505,-27.9315,152.95,1/11/2018,1
3704,-27.858271,152.464286,3/11/2018,0
3703,-27.865432,152.486268,3/11/2018,1
3302,-27.661199,152.319399,3/11/2018,0
